               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.056863,            0.050321,           0.0014702,             0.78573,             0.78893,             0.84179,             0.32135,            0.032193,             0.06242,          0.00068771,           0.0036916,           0.0036916,           0.0097916
                  47,            0.054919,            0.052027,           0.0014839,             0.80188,             0.78893,             0.85764,             0.35569,            0.033233,            0.061508,          0.00067019,           0.0036022,           0.0036022,           0.0077022
                  48,            0.051986,            0.051176,           0.0013659,             0.79915,              0.7785,             0.84799,             0.31364,            0.033085,            0.063434,          0.00063383,           0.0035087,           0.0035087,           0.0056087
                  49,             0.05157,            0.051098,           0.0014228,             0.82964,              0.7849,             0.87136,             0.36597,            0.029692,             0.06424,          0.00060339,           0.0034118,           0.0034118,           0.0035118
                  50,            0.051235,            0.053142,           0.0014205,              0.8466,             0.77683,             0.87668,             0.38034,            0.029671,            0.063447,          0.00059509,             0.00325,             0.00325,             0.00325
                  51,            0.052013,            0.049675,           0.0011907,             0.83473,             0.78817,             0.87335,             0.35714,            0.031258,            0.064347,          0.00058456,             0.00325,             0.00325,             0.00325
                  52,            0.050994,            0.047658,           0.0011943,             0.82697,             0.80204,             0.86945,             0.37915,            0.029431,            0.066058,          0.00057091,           0.0030888,           0.0030888,           0.0030888
                  53,            0.050751,            0.053098,           0.0011879,             0.84331,             0.78309,             0.87569,             0.38131,            0.028549,            0.063249,          0.00050284,           0.0029318,           0.0029318,           0.0029318
                  54,            0.046429,            0.049712,           0.0010867,             0.80297,             0.82224,             0.88024,             0.38237,            0.028328,            0.063437,          0.00044339,           0.0027793,           0.0027793,           0.0027793
                  55,            0.049088,            0.048936,          0.00093055,             0.79507,             0.84555,             0.88447,             0.38285,            0.028156,            0.063042,          0.00039837,           0.0026316,           0.0026316,           0.0026316
                  56,            0.047839,            0.048986,          0.00079883,             0.84863,             0.78979,             0.88463,             0.39333,            0.028314,             0.06419,          0.00038016,           0.0024889,           0.0024889,           0.0024889
                  57,            0.047147,            0.050781,          0.00078831,             0.79348,             0.83947,             0.88513,             0.39404,            0.028798,            0.065216,          0.00036821,           0.0023515,           0.0023515,           0.0023515
                  58,            0.046484,            0.050743,          0.00079773,              0.7744,             0.86902,             0.88736,             0.39901,             0.02852,            0.066137,          0.00034506,           0.0022196,           0.0022196,           0.0022196
                  59,            0.044237,            0.048426,          0.00079601,              0.8247,             0.80215,             0.88022,             0.37957,            0.029383,            0.067314,          0.00033132,           0.0020935,           0.0020935,           0.0020935
                  60,            0.043918,            0.050506,          0.00075571,             0.78218,             0.85762,             0.88595,             0.39521,            0.028527,            0.065622,          0.00030953,           0.0019734,           0.0019734,           0.0019734
                  61,            0.045716,            0.050593,          0.00062282,             0.85913,             0.79733,             0.89402,             0.39855,            0.028081,            0.064941,          0.00027492,           0.0018594,           0.0018594,           0.0018594
                  62,            0.046507,            0.048834,           0.0006742,              0.8752,             0.78466,             0.89511,             0.40463,            0.027856,            0.063443,          0.00026509,           0.0017519,           0.0017519,           0.0017519
                  63,             0.04419,            0.050973,          0.00050919,             0.87078,             0.78715,              0.8948,             0.39332,            0.028275,            0.063723,          0.00024648,           0.0016509,           0.0016509,           0.0016509
