   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
0.58499,0.58568,0.58385,0.18093,0.079735,0.10057,0.006794,0.01767,0.11757,0.8818,0.00041,2.1817,0.61048,0.07942,0.05759,0.52514,1.2606,0.92263,0.86975,0.2,4.3281,0,0.01716,0.69317,0.35609,0,0.06507,0.45837,0,0,0,0.5,0.93982,0,0,2.3552
0.42006,0.39804,0.32205,0.076723,0.097303,0.090359,0.019358,0.00949,0.13541,0.82805,0.00033,2.2403,0.58287,0.08921,0.0577,0.56472,1.3904,0.82307,0.82537,0.2,4.1693,0,0.02054,0.69122,0.35609,0,0.07198,0.49777,0,0,0,0.5,0.90665,0,0,2.0296
0.59258,0.56324,0.59958,0.19922,0.083243,0.096018,0.0034537,0.0146,0.11721,0.95899,0.0004,2.4866,0.72985,0.08553,0.05991,0.60191,1.4984,0.92263,0.79181,0.2,5.8503,0,0.0152,0.69122,0.47307,0,0.05846,0.31035,0,0,0,0.5,0.9181,0,0,2.0505
0.46376,0.56384,0.47091,0.1301,0.086669,0.087925,0.0071591,0.00781,0.1321,0.87418,0.00036,3.2439,0.76471,0.04923,0.05704,0.7623,1.4372,0.7926,0.86916,0.2,4.4571,0,0.02165,0.76127,0.35609,0,0.0648,0.28705,0,0,0,0.5,0.78972,0,0,2.3537
0.54249,0.59636,0.51125,0.15351,0.071431,0.091744,0.0038721,0.02052,0.15323,0.94535,0.00044,2.4532,0.7264,0.0713,0.05532,0.40246,1.2465,1.0632,0.93071,0.2,3.2736,0,0.01831,0.80321,0.35609,0,0.0759,0.45561,0,0,0,0.5,0.90775,0,0,2.3275
0.58825,0.60774,0.61031,0.20712,0.077833,0.093746,0.0053738,0.01299,0.12805,0.86757,0.00043,2.4866,0.77475,0.10846,0.05748,0.52688,1.0016,0.92263,0.72697,0.2,5.0066,0,0.01871,0.69122,0.39796,0,0.08066,0.39751,0,0,0,0.5,1,0,0,2
0.61141,0.5858,0.61223,0.19289,0.081255,0.11274,0.0052324,0.01365,0.12422,0.87881,0.00042,2.729,0.73098,0.08334,0.0608,0.51667,1.5572,1.0484,0.83571,0.2,4.517,0,0.02033,0.71299,0.37401,0,0.07679,0.39019,0,0,0,0.5,1,0,0,2
0.69116,0.68886,0.73685,0.26122,0.070311,0.096133,0.0019853,0.0146,0.11314,0.89032,0.00042,3.0945,0.83374,0.08423,0.05898,0.5188,1.5032,1.0906,0.86798,0.2,3.4677,0,0.01705,0.56441,0.36965,0,0.07423,0.44746,0,0,0,0.5,0.72326,0,0,2
0.44463,0.5573,0.45738,0.11274,0.066618,0.077289,0.0090691,0.01132,0.15579,0.84807,0.00042,2.6488,0.69758,0.08576,0.04565,0.51652,1.7047,0.9497,0.7779,0.2,3.3212,0,0.01735,0.9,0.28721,0,0.09267,0.37188,0,0,0,0.5,1,0,0,2
0.53239,0.56608,0.51804,0.14982,0.073358,0.080108,0.0072884,0.01316,0.1322,0.87663,0.00042,2.4498,0.69758,0.08576,0.05161,0.46822,1.7047,0.73516,0.84562,0.2,4.3536,0,0.01735,0.7357,0.35687,0,0.08717,0.41436,0,0,0,0.5,1,0,0,2
0.37339,0.5013,0.37235,0.095285,0.0831,0.11836,0.0089307,0.00946,0.11446,0.95206,0.0005,2.4174,0.78766,0.09261,0.05571,0.64484,1.1934,1.0492,0.93885,0.2,4.4562,0,0.01484,0.60018,0.25935,0,0.09737,0.51158,0,0,0,0.5,0.85657,0,0,2.6884
0.54003,0.56894,0.52487,0.14914,0.074249,0.077377,0.006417,0.01316,0.1322,0.89261,0.00039,2.4089,0.71116,0.08847,0.05223,0.46822,1.7047,0.72755,0.82289,0.2,4.3536,0,0.01639,0.7357,0.35687,0,0.08717,0.46257,0,0,0,0.5,0.98306,0,0,2
0.42006,0.39804,0.32205,0.076723,0.097303,0.090359,0.019358,0.00949,0.13541,0.82805,0.00033,2.2403,0.58287,0.08921,0.0577,0.56472,1.3904,0.82307,0.82537,0.2,4.1693,0,0.02054,0.69122,0.35609,0,0.07198,0.49777,0,0,0,0.5,0.90665,0,0,2.0296
0.3971,0.47674,0.35852,0.094211,0.075254,0.083443,0.016805,0.00761,0.1001,0.82729,0.0005,2.8721,0.65714,0.1072,0.03703,0.76363,1.1934,0.9319,0.93885,0.2,5.0607,0,0.01465,0.85459,0.53514,0,0.08646,0.48244,0,0,0,0.5,1,0,0,2.4358
0.30359,0.47782,0.28708,0.069035,0.085236,0.10252,0.019536,0.00913,0.10995,0.93093,0.00044,3.3645,0.59829,0.1108,0.05,0.53136,1.1485,0.94758,1.0014,0.2,3.7177,0,0.01498,0.6958,0.5304,0,0.10476,0.40151,0,0,0,0.5,0.99335,0,0,2.4831
0.59258,0.56324,0.59958,0.19922,0.083243,0.096018,0.0034537,0.0146,0.11721,0.95899,0.0004,2.4866,0.72985,0.08553,0.05991,0.60191,1.4984,0.92263,0.79181,0.2,5.8503,0,0.0152,0.69122,0.47307,0,0.05846,0.31035,0,0,0,0.5,0.9181,0,0,2.0505
0.58499,0.58568,0.58385,0.18093,0.079735,0.10057,0.006794,0.01767,0.11757,0.8818,0.00041,2.1817,0.61048,0.07942,0.05759,0.52514,1.2606,0.92263,0.86975,0.2,4.3281,0,0.01716,0.69317,0.35609,0,0.06507,0.45837,0,0,0,0.5,0.93982,0,0,2.3552
0.47892,0.51447,0.45377,0.12167,0.077769,0.10205,0.013258,0.01051,0.10632,0.87702,0.0005,3.0484,0.68997,0.1,0.05,0.51762,1.1485,0.8822,0.96319,0.2,4.5165,0,0.015,0.6958,0.41811,0,0.09053,0.48244,0,0,0,0.5,1,0,0,2.4831
0.42799,0.519,0.40992,0.10305,0.074022,0.10939,0.012403,0.01,0.1,0.937,0.0005,3,0.8,0.1,0.05,0.5,1,1,1,0.2,4,0,0.015,0.7,0.4,0,0.1,0.5,0,0,0,0.5,1,0,0,3
0.50317,0.50558,0.4769,0.13684,0.089573,0.087919,0.016004,0.01219,0.1322,0.8805,0.00041,2.5034,0.57602,0.08435,0.06141,0.45489,1.7414,0.8138,0.80532,0.2,4.2095,0,0.02069,0.7357,0.35687,0,0.08717,0.41436,0,0,0,0.5,0.74421,0,0,2
0.60624,0.59955,0.6233,0.1988,0.077588,0.1004,0.0044455,0.0146,0.12795,0.89032,0.00043,2.4866,0.72985,0.08657,0.05898,0.52688,1.486,0.92263,0.86916,0.2,4.3281,0,0.01923,0.69122,0.35609,0,0.0759,0.4281,0,0,0,0.5,1,0,0,2
